"id","geom","longitud","latitud","concello_id","ubicacion","km"
145,POINT (-8.637018682490536 42.6786413611551),-8.637018682490536,42.6786413611551,Valga,71281,36.0
146,POINT (-8.638183624211075 42.67694838713379),-8.638183624211075,42.67694838713379,Valga,71281,36.25
147,POINT (-8.637247561522292 42.6755150621967),-8.637247561522292,42.6755150621967,Valga,71281,36.5
148,POINT (-8.6348718063769 42.674858692288176),-8.6348718063769,42.674858692288176,Valga,71281,36.75
149,POINT (-8.633251297384023 42.67368074507219),-8.633251297384023,42.67368074507219,Valga,71281,37.0
150,POINT (-8.6333878868644 42.671343457914894),-8.6333878868644,42.671343457914894,Valga,71281,37.25
151,POINT (-8.633855897368155 42.66893505721971),-8.633855897368155,42.66893505721971,Valga,71281,37.5
152,POINT (-8.633128099389383 42.66724965933293),-8.633128099389383,42.66724965933293,Valga,71281,37.75
153,POINT (-8.633476201407413 42.66482408876678),-8.633476201407413,42.66482408876678,Valga,71281,38.0
154,POINT (-8.634849217733892 42.66281366968246),-8.634849217733892,42.66281366968246,Valga,71281,38.25
155,POINT (-8.636393774630044 42.661082481907634),-8.636393774630044,42.661082481907634,Caldas de Reis,66168,38.5
156,POINT (-8.635359499228047 42.659037782596826),-8.635359499228047,42.659037782596826,Caldas de Reis,66168,38.75
157,POINT (-8.637635871802388 42.658421797811236),-8.637635871802388,42.658421797811236,Caldas de Reis,66168,39.0
158,POINT (-8.639698965665843 42.65867034072626),-8.639698965665843,42.65867034072626,Caldas de Reis,66168,39.25
159,POINT (-8.641830450523868 42.65780373397461),-8.641830450523868,42.65780373397461,Caldas de Reis,66168,39.5
160,POINT (-8.642297047367888 42.656109297572954),-8.642297047367888,42.656109297572954,Caldas de Reis,66168,39.75
161,POINT (-8.643412176908559 42.65475809840512),-8.643412176908559,42.65475809840512,Caldas de Reis,66168,40.0
162,POINT (-8.644837151431277 42.6531519236681),-8.644837151431277,42.6531519236681,Caldas de Reis,66168,40.25
163,POINT (-8.6464315738254 42.65142822093338),-8.6464315738254,42.65142822093338,Caldas de Reis,66168,40.5
164,POINT (-8.64613544547429 42.64975943372599),-8.64613544547429,42.64975943372599,Caldas de Reis,66168,40.75
165,POINT (-8.643290581347445 42.577310547703874),-8.643290581347445,42.577310547703874,Caldas de Reis,66168,41.0
166,POINT (-8.643318424717714 42.57492572696806),-8.643318424717714,42.57492572696806,Caldas de Reis,66168,41.25
167,POINT (-8.644717614971771 42.648255991585025),-8.644717614971771,42.648255991585025,Caldas de Reis,66168,41.5
168,POINT (-8.643565366945278 42.64622377371793),-8.643565366945278,42.64622377371793,Caldas de Reis,66168,41.75
169,POINT (-8.643307662499545 42.643931798029634),-8.643307662499545,42.643931798029634,Caldas de Reis,66168,42.0
170,POINT (-8.642989600284183 42.64174476765978),-8.642989600284183,42.64174476765978,Caldas de Reis,66168,42.25
171,POINT (-8.644098981711906 42.639634930179106),-8.644098981711906,42.639634930179106,Caldas de Reis,66168,42.5
172,POINT (-8.644641022713984 42.63730634107144),-8.644641022713984,42.63730634107144,Caldas de Reis,66168,42.75
173,POINT (-8.644804206736193 42.634897245558356),-8.644804206736193,42.634897245558356,Caldas de Reis,66168,43.0
174,POINT (-8.645251715441159 42.632493920644905),-8.645251715441159,42.632493920644905,Caldas de Reis,66168,43.25
175,POINT (-8.644797770836098 42.6304312320053),-8.644797770836098,42.6304312320053,Caldas de Reis,66168,43.5
176,POINT (-8.64511830422728 42.628000143789876),-8.64511830422728,42.628000143789876,Caldas de Reis,66168,43.75
177,POINT (-8.644095132125134 42.62587845872307),-8.644095132125134,42.62587845872307,Caldas de Reis,66168,44.0
178,POINT (-8.643688681610957 42.6235079117949),-8.643688681610957,42.6235079117949,Caldas de Reis,66168,44.25
179,POINT (-8.643933506357609 42.62128055370856),-8.643933506357609,42.62128055370856,Caldas de Reis,66168,44.5
117,POINT (-8.652481376048772 42.7254332751286),-8.652481376048772,42.7254332751286,Pontecesures,49133,29.0
