"id","geom","tipo","nome","enderezo","concello","cp","telefono","longitud","latitud"
14665,POINT (-7.2177537 43.5446125),vivendas_turisticas,PETITE HOUSE,"RÚA ESTR. ESTR. Nº 1 BLOQUE 2, PISO BAJO LETRA B",barreiros,"27792",,-7.2177537,43.5446125
156,POINT (-8.809742 43.032132),farmacia,Farmacia C-428-F,"LUGO, Nº 2",santa comba,"15840","981880457",-8.809742,43.032132
14666,POINT (-7.2489096086913 43.5400785544819),vivendas_turisticas,PICODACOSTA,"LG.  EIRAS/ CRUZ DO LOBO Nº 22, PISO 2º",barreiros,"27790",,-7.2489096086913,43.5400785544819
14669,POINT (-7.2367001320053 43.5395727811591),vivendas_turisticas,PISO CAMINO DEL MAR,"RÚA VILA Nº 86 BLOQUE 4, PISO 1º LETRA D",barreiros,"27790",,-7.2367001320053,43.5395727811591
14670,POINT (-7.2111560090847 43.5474656770792),vivendas_turisticas,PISO CEFERINO,BARRIO BARRIO ESCANLAR Nº 1,barreiros,"27792",,-7.2111560090847,43.5474656770792
157,POINT (-8.811016 43.322964),farmacia,Farmacia C-205-F,"ANSELMO VILLAR AMIGO, Nº 1",malpica de bergantiños,"15113","981720009",-8.811016,43.322964
14671,POINT (-7.2393155696082 43.5639619056118),vivendas_turisticas,"PISO CON VISTAS AO MAR NA URBANIZACIÓN MOLIMAR, VILADAÍDE, BARREIROS","VILADAÍDE, PRAIA DE ALTAR Nº 21, PISO 2º LETRA B",barreiros,"27790",,-7.2393155696082,43.5639619056118
14673,POINT (-7.2393155696082 43.5639619056118),vivendas_turisticas,PISO SAN BARTOLO,RÚA LG. VILADAIDE- PRAIA ALTAR 24 Nº 2,barreiros,"27790",,-7.2393155696082,43.5639619056118
14677,POINT (-7.2137105745832 43.5448218289644),vivendas_turisticas,PLAYA SAMPREDRO - URBANIZACION LAS CAMELIAS,PRAIA SAN PEDRO Nº 25 LETRA 1C,barreiros,"27793",,-7.2137105745832,43.5448218289644
14680,POINT (-7.2220844715209 43.5616817206351),vivendas_turisticas,RAUL GARCIA LOPEZ,"RÚA DA PRAIA Nº 29 BLOQUE 1, PISO 1 LETRA H",barreiros,"27790","660080067",-7.2220844715209,43.5616817206351
14681,POINT (-7.2389640385593 43.5616423591077),vivendas_turisticas,REBECA VÁZQUEZ CHAO,"RÚA VILADAIDE PRAIA ALTAR Nº 1, PISO BAIXO LETRA H",barreiros,"27790",,-7.2389640385593,43.5616423591077
14685,POINT (-7.2332033673413 43.5665504703281),vivendas_turisticas,REMEDIOS GILES ROMERO,"AV CASIANO MORENO Nº 37, PISO 7º-1 LETRA A",barreiros,"27790",,-7.2332033673413,43.5665504703281
158,POINT (-8.779166 43.26858),farmacia,Farmacia C-204-F,"SANTA CATALINA, Nº 36",malpica de bergantiños,"15111","981711423",-8.779166,43.26858
14686,POINT (-7.1929028389946 43.5453611883683),vivendas_turisticas,REMEDIOS PAZ SÁNCHEZ,ESTR. DA PRAIA Nº 50,barreiros,"27792",,-7.1929028389946,43.5453611883683
14687,POINT (-7.1929028389946 43.5453611883683),vivendas_turisticas,REMEDIOS PAZ SÁNCHEZ,ESTR. DA PRAIA Nº 50,barreiros,"27792",,-7.1929028389946,43.5453611883683
14688,POINT (-7.1808578484214 43.5416791626921),vivendas_turisticas,RESIDENCIAL SAN COSME,"BARRIO FORO Nº 1º, PISO 3º LETRA F",barreiros,"27793",,-7.1808578484214,43.5416791626921
14695,POINT (-7.2408608391562 43.5575676667146),vivendas_turisticas,SANDRA DE LA FUENTE SÁNCHEZ,"DA PRAIA Nº 29, PISO BAJO LETRA D",barreiros,"27790",,-7.2408608391562,43.5575676667146
12865,POINT (-8.9872028979413 42.5393093905962),vivendas_turisticas,EVARISTO MUÑIZ VIDAL,"LG. AMEIXIDA, Nº 46 A",ribeira,"15966",,-8.9872028979413,42.5393093905962
14713,POINT (-7.1870411838034 43.5440170211688),vivendas_turisticas,URBANIZACIÓN AS CATEDRAIS,"CAMIÑO REAL VI Nº 48-BLOQUE 2, PISO 2º LETRA D",barreiros,"27793",,-7.1870411838034,43.5440170211688
14714,POINT (-7.2295846616007 43.5191250457438),vivendas_turisticas,URBANIZACIÓN AS CATEDRAIS,"CAMINO REAL VI Nº 48-BLOQUE 1, PISO 2º LETRA C",barreiros,"27793",,-7.2295846616007,43.5191250457438
14720,POINT (-7.1989709651084 43.559528405891),vivendas_turisticas,URBANIZACIÓN JARDÍN DE LUGO,"ESTR. XERAL-JARDÍN DE LUGO Nº BLOQUE 10, PISO 2º LETRA B",barreiros,"27792",,-7.1989709651084,43.559528405891
14721,POINT (-7.1989709651084 43.559528405891),vivendas_turisticas,URBANIZACIÓN JARDÍN DE LUGO,"ESTR. XERAL-JARDÍN LUGO Nº BLOQUE 7, PISO 2º LETRA A",barreiros,"27792",,-7.1989709651084,43.559528405891
14722,POINT (-7.2295846616007 43.5191250457438),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 4, PISO 2º LETRA A",barreiros,"27792",,-7.2295846616007,43.5191250457438
14723,POINT (-7.1989709651084 43.559528405891),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL-JARDIN LUGO Nº BLOQUE 6, PISO 1º LETRA B",barreiros,"27792",,-7.1989709651084,43.559528405891
14724,POINT (-7.2295846616007 43.5191250457438),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 10, PISO 1º LETRA D",barreiros,"27792",,-7.2295846616007,43.5191250457438
14725,POINT (-7.1989709651084 43.559528405891),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL-JARDÍN LUGO Nº BLOQUE 9, PISO BAIXO LETRA C",barreiros,"27792",,-7.1989709651084,43.559528405891
14726,POINT (-7.2113666416531 43.5492656270525),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 6, PISO ATICO LETRA A",barreiros,"27792",,-7.2113666416531,43.5492656270525
14727,POINT (-7.2505546317757 43.51416795),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. Nº 1B Nº BLOQUE 6, PISO 1º LETRA D",barreiros,"27792",,-7.2505546317757,43.51416795
14728,POINT (-7.2295846616008 43.5191250457437),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº 105 BLOQUE 4,, PISO 3º LETRA A",barreiros,"27790",,-7.2295846616008,43.5191250457437
14729,POINT (-7.2113666416531 43.5492656270525),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 4, PISO BAIXO LETRA D",barreiros,"27792",,-7.2113666416531,43.5492656270525
14730,POINT (-7.2113666416531 43.5492656270525),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 10, PISO ATICO LETRA D",barreiros,"27792",,-7.2113666416531,43.5492656270525
14731,POINT (-7.2446864849378 43.5649488586942),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. Nº 1B Nº BLOQUE 6, PISO BAIXO LETRA A",barreiros,"27792",,-7.2446864849378,43.5649488586942
14732,POINT (-7.1989709651084 43.559528405891),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL-JARDIN DE LUGO Nº BLOQUE 2, PISO 1º LETRA C",barreiros,"27792",,-7.1989709651084,43.559528405891
14733,POINT (-7.2399768540335 43.5616165590571),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 BJ W,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA W",barreiros,"27790",,-7.2399768540335,43.5616165590571
14734,POINT (-7.2113666416531 43.5492656270525),vivendas_turisticas,URBANIZACIÓN JARDÍN LUGO,"ESTR. XERAL Nº BLOQUE 8, PISO 2º LETRA D",barreiros,"27792",,-7.2113666416531,43.5492656270525
14748,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN LOS ALAMOS ,"RÚA VILADAIDE-PRAIA DE ALTAR Nº 48, PISO 1º LETRA E",barreiros,"27790",,-7.2394666264834,43.5605572578114
14749,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN LOS ALAMOS ,"RÚA VILADAIDE-PRAIA DE ALTAR Nº 48, PISO BAIXO LETRA K",barreiros,"27790",,-7.2394666264834,43.5605572578114
14750,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN LOS ALAMOS ,"RÚA VILADAIDE-PRAIA DE ALTAR Nº 48, PISO 1º LETRA F",barreiros,"27790",,-7.2394666264834,43.5605572578114
159,POINT (-8.741693 41.990884),farmacia,Farmacia PO-128-F,"REPUBLICA ARGENTINA, Nº 14",tomiño,"36740","986622031",-8.741693,41.990884
14751,POINT (-7.2389329459512 43.5610599701403),vivendas_turisticas,URBANIZACION LOS ALAMOS 2L,"VILADAIDE PRAIA ALTAR Nº 48, PISO 2 LETRA L",barreiros,"27790",,-7.2389329459512,43.5610599701403
14752,POINT (-7.1963427635519 43.5351087278567),vivendas_turisticas,URBANIZACIÓN LÚA,"RÚA ESTARADA DAS PRAIAS Nº 2, PISO BAIXO LETRA C",barreiros,"27793",,-7.1963427635519,43.5351087278567
14753,POINT (-7.1895893207445 43.5466151273894),vivendas_turisticas,URBANIZACIÓN LUA,"RÚA PUMARRUBÍN Nº 2 BLOQUE 2, PISO 2 LETRA B",barreiros,"27793",,-7.1895893207445,43.5466151273894
14754,POINT (-7.1952560996576 43.54379395),vivendas_turisticas,URBANIZACIÓN LUA,"ESTR. SAN MIGUEL Nº 2-BLOQUE 1, PISO 3º LETRA I",barreiros,"27793",,-7.1952560996576,43.54379395
14755,POINT (-7.2393155696082 43.5639619056118),vivendas_turisticas,URBANIZACIÓN MOLIMAR 21,"LG. VILADAIDE Nº 21, PISO 3º LETRA G",barreiros,,,-7.2393155696082,43.5639619056118
14756,POINT (-7.2444321468259 43.5656290852143),vivendas_turisticas,URBANIZACIÓN OCÉANO II PORTAL 3 1ºC,"VILADAIDE-PRAIA ALTAR, PISO 1 LETRA C",barreiros,"27790",,-7.2444321468259,43.5656290852143
